ISIN,FISN,CFI,DTI,Linked DTI(s),DTI Long Name,DTI Short Name,DTI Status,Type,Added Date,Amended Date
XTZQS79D91H2,AFREUM BDT/ABDT,TMXXXX,ZQS79D91H,V23M4RT1K,AFREUM BDT,ABDT,Provisional,Referential Instrument,2/14/25,2/14/25
XT7KCS2LQ2B3,AFREUM BBD/ABBD,TMXXXX,7KCS2LQ2B,M54P10X8Q,AFREUM BBD,ABBD,Provisional,Referential Instrument,2/14/25,2/14/25
XT3KR7N45CX0,AFREUM BAM/ABAM,TMXXXX,3KR7N45CX,R7KG0MCC5,AFREUM BAM,ABAM,Provisional,Referential Instrument,2/14/25,2/14/25
XT6RM2Z1LLQ4,AFREUM AZN/AAZN,TMXXXX,6RM2Z1LLQ,T1FDR8JWM,AFREUM AZN,AAZN,Provisional,Referential Instrument,2/14/25,2/14/25
XTGJL86QG2M3,AFREUM AWG/AAWG,TMXXXX,GJL86QG2M,K940C51QC,AFREUM AWG,AAWG,Provisional,Referential Instrument,2/14/25,2/14/25
XTVVLGRQGPN5,AFREUM AUD/AAUD,TMXXXX,VVLGRQGPN,WK2NPGFKC,AFREUM AUD,AAUD,Provisional,Referential Instrument,2/14/25,2/14/25
XTWKSG60NF09,AFREUM ARS/AARS,TMXXXX,WKSG60NF0,W1C8WV1FJ,AFREUM ARS,AARS,Provisional,Referential Instrument,2/14/25,2/14/25
XTW0ST1CR4M0,AFREUM ANG/AANG,TMXXXX,W0ST1CR4M,HXF80XGRG,AFREUM ANG,AANG,Provisional,Referential Instrument,2/14/25,2/14/25
XT1TNPG7XFV1,AFREUM AMD/AAMD,TMXXXX,1TNPG7XFV,KDNZDLDMP,AFREUM AMD,AAMD,Provisional,Referential Instrument,2/14/25,2/14/25
XTXXZ8F4PZ97,AFREUM ALL/AALL,TMXXXX,XXZ8F4PZ9,MPPKGK6LT,AFREUM ALL,AALL,Provisional,Referential Instrument,2/14/25,2/14/25
XTS6417D49W4,AFREUM AFN/AAFN,TMXXXX,S6417D49W,4DXMWBSFW,AFREUM AFN,AAFN,Provisional,Referential Instrument,2/14/25,2/14/25
XTX3WZ1HNWL2,AFREUM AED/AAED,TMXXXX,X3WZ1HNWL,Q2ST0HB14,AFREUM AED,AAED,Provisional,Referential Instrument,2/14/25,2/14/25
XTG0PCM6RDP7,AFREUM STABLE AED/SAED,TMXXXX,G0PCM6RDP,SHJDMJKD1,AFREUM STABLE AED,SAED,Provisional,Referential Instrument,2/14/25,2/14/25
XT7KJGL5LGG2,AFREUM STABLE AFN/SAFN,TMXXXX,7KJGL5LGG,8WV98TJHC,AFREUM STABLE AFN,SAFN,Provisional,Referential Instrument,2/14/25,2/14/25
XTJNDWGHBP16,AFREUM STABLE ALL/SALL,TMXXXX,JNDWGHBP1,1P1J34XQS,AFREUM STABLE ALL,SALL,Provisional,Referential Instrument,2/14/25,2/14/25
XTDQNS1TV246,AFREUM STABLE AMD/SAMD,TMXXXX,DQNS1TV24,NF3DZ3VNH,AFREUM STABLE AMD,SAMD,Provisional,Referential Instrument,2/14/25,2/14/25
XT3S5HHJWR00,AFREUM STABLE ANG/SANG,TMXXXX,3S5HHJWR0,M0KTB2J79,AFREUM STABLE ANG,SANG,Provisional,Referential Instrument,2/14/25,2/14/25
XTJ4WF89BPD0,AFREUM STABLE AOA/SAOA,TMXXXX,J4WF89BPD,25ZSQKV32,AFREUM STABLE AOA,SAOA,Provisional,Referential Instrument,2/14/25,2/14/25
XTW1R5KQML92,AFREUM STABLE ARS/SARS,TMXXXX,W1R5KQML9,GLL920C9G,AFREUM STABLE ARS,SARS,Provisional,Referential Instrument,2/14/25,2/14/25
XT5RW035L9R1,AFREUM STABLE AUD/SAUD,TMXXXX,5RW035L9R,H196BL4DF,AFREUM STABLE AUD,SAUD,Provisional,Referential Instrument,2/14/25,2/14/25
XTZKTXXDV5Q4,AFREUM STABLE AWG/SAWG,TMXXXX,ZKTXXDV5Q,M1HZGSS0B,AFREUM STABLE AWG,SAWG,Provisional,Referential Instrument,2/14/25,2/14/25
XTVKCZPXH2D4,AFREUM STABLE AZN/SAZN,TMXXXX,VKCZPXH2D,4R9LQBV39,AFREUM STABLE AZN,SAZN,Provisional,Referential Instrument,2/14/25,2/14/25
XTSFRNRN1P41,AFREUM STABLE BAM/SBAM,TMXXXX,SFRNRN1P4,R6B1R112Q,AFREUM STABLE BAM,SBAM,Provisional,Referential Instrument,2/14/25,2/14/25
XT6CQC7VDD71,AFREUM STABLE BBD/SBBD,TMXXXX,6CQC7VDD7,X9R8GS7R1,AFREUM STABLE BBD,SBBD,Provisional,Referential Instrument,2/14/25,2/14/25
XTGSSQ7G26W5,AFREUM STABLE BDT/SBDT,TMXXXX,GSSQ7G26W,FD5DLL2SZ,AFREUM STABLE BDT,SBDT,Provisional,Referential Instrument,2/14/25,2/14/25
XTT1PR8S03J6,AFREUM STABLE BGN/SBGN,TMXXXX,T1PR8S03J,8VX5176BM,AFREUM STABLE BGN,SBGN,Provisional,Referential Instrument,2/14/25,2/14/25
XT17NF231CC6,AFREUM STABLE BHD/SBHD,TMXXXX,17NF231CC,XX3VQLJT0,AFREUM STABLE BHD,SBHD,Provisional,Referential Instrument,2/14/25,2/14/25
XTXHD7DD67K3,AFREUM STABLE BIF/SBIF,TMXXXX,XHD7DD67K,WVSG2WRVJ,AFREUM STABLE BIF,SBIF,Provisional,Referential Instrument,2/14/25,2/14/25
XTSMS7F684Q8,AFREUM STABLE BMD/SBMD,TMXXXX,SMS7F684Q,HPTPJJWC6,AFREUM STABLE BMD,SBMD,Provisional,Referential Instrument,2/14/25,2/14/25
XTM54BKKLMP1,AFREUM STABLE BND/SBND,TMXXXX,M54BKKLMP,D3V3W2PX2,AFREUM STABLE BND,SBND,Provisional,Referential Instrument,2/14/25,2/14/25
XTQTCT4SJQ76,AFREUM STABLE BOB/SBOB,TMXXXX,QTCT4SJQ7,LZ5F4GJHT,AFREUM STABLE BOB,SBOB,Provisional,Referential Instrument,2/14/25,2/14/25
XTMX130W1982,AFREUM STABLE BRL/SBRL,TMXXXX,MX130W198,BD33N0T5G,AFREUM STABLE BRL,SBRL,Provisional,Referential Instrument,2/14/25,2/14/25
XT224187W321,AFREUM STABLE BSD/SBSD,TMXXXX,224187W32,S5R7499GM,AFREUM STABLE BSD,SBSD,Provisional,Referential Instrument,2/14/25,2/14/25
XTSLQNXLR1B4,AFREUM STABLE BTN/SBTN,TMXXXX,SLQNXLR1B,W7XGXT546,AFREUM STABLE BTN,SBTN,Provisional,Referential Instrument,2/14/25,2/14/25
XTJJ8GLRL8C1,AFREUM STABLE BWP/SBWP,TMXXXX,JJ8GLRL8C,9CMNB37BQ,AFREUM STABLE BWP,SBWP,Provisional,Referential Instrument,2/14/25,2/14/25
XT4DLBJ71CZ8,AFREUM STABLE BYN/SBYN,TMXXXX,4DLBJ71CZ,CNBVJ1N7B,AFREUM STABLE BYN,SBYN,Provisional,Referential Instrument,2/14/25,2/14/25
XTXTRV09CBD4,AFREUM STABLE BZD/SBZD,TMXXXX,XTRV09CBD,D27DNZ98J,AFREUM STABLE BZD,SBZD,Provisional,Referential Instrument,2/14/25,2/14/25
XTJXJJT3DWZ9,AFREUM STABLE CAD/SCAD,TMXXXX,JXJJT3DWZ,6F1HH16W6,AFREUM STABLE CAD,SCAD,Provisional,Referential Instrument,2/14/25,2/14/25
XTD8GVBBV550,AFREUM STABLE CDF/SCDF,TMXXXX,D8GVBBV55,VK0VS9V61,AFREUM STABLE CDF,SCDF,Provisional,Referential Instrument,2/14/25,2/14/25
XTKGBBXFJ6S1,AFREUM STABLE CHF/SCHF,TMXXXX,KGBBXFJ6S,N315XSJFS,AFREUM STABLE CHF,SCHF,Provisional,Referential Instrument,2/14/25,2/14/25
XTD6HB0K96R4,AFREUM STABLE CLP/SCLP,TMXXXX,D6HB0K96R,MBMF7QB8R,AFREUM STABLE CLP,SCLP,Provisional,Referential Instrument,2/14/25,2/14/25
XT12BJRTH339,AFREUM STABLE CNY/SCNY,TMXXXX,12BJRTH33,NJL843MQG,AFREUM STABLE CNY,SCNY,Provisional,Referential Instrument,2/14/25,2/14/25
XTSKQSJ3TK88,AFREUM STABLE COP/SCOP,TMXXXX,SKQSJ3TK8,GFN2JK0GV,AFREUM STABLE COP,SCOP,Provisional,Referential Instrument,2/14/25,2/14/25
XT263BF2F5G3,AFREUM STABLE CRC/SCRC,TMXXXX,263BF2F5G,B1JQCK0PB,AFREUM STABLE CRC,SCRC,Provisional,Referential Instrument,2/14/25,2/14/25
XTKZ61ZLCDP3,AFREUM STABLE CUP/SCUP,TMXXXX,KZ61ZLCDP,6TJFKVB1Z,AFREUM STABLE CUP,SCUP,Provisional,Referential Instrument,2/14/25,2/14/25
XT9V4TQ4JNM5,AFREUM STABLE CVE/SCVE,TMXXXX,9V4TQ4JNM,KNFCSHLZN,AFREUM STABLE CVE,SCVE,Provisional,Referential Instrument,2/14/25,2/14/25
XTZCT32CJK37,AFREUM STABLE CZK/SCZK,TMXXXX,ZCT32CJK3,DG9TH5J85,AFREUM STABLE CZK,SCZK,Provisional,Referential Instrument,2/14/25,2/14/25
XTPRM5989MF5,AFREUM STABLE DJF/SDJF,TMXXXX,PRM5989MF,J9TTK24QB,AFREUM STABLE DJF,SDJF,Provisional,Referential Instrument,2/14/25,2/14/25
XTN6B788KNR6,AFREUM STABLE DKK/SDKK,TMXXXX,N6B788KNR,7STDR9ZL4,AFREUM STABLE DKK,SDKK,Provisional,Referential Instrument,2/14/25,2/14/25
XTFF8GTRBJX3,AFREUM STABLE DOP/SDOP,TMXXXX,FF8GTRBJX,GFB995KNJ,AFREUM STABLE DOP,SDOP,Provisional,Referential Instrument,2/14/25,2/14/25
XTTCG4THQ920,AFREUM STABLE DZD/SDZD,TMXXXX,TCG4THQ92,SQB8ZGMQR,AFREUM STABLE DZD,SDZD,Provisional,Referential Instrument,2/14/25,2/14/25
XT4M6H7ZPKW8,AFREUM STABLE EGP/SEGP,TMXXXX,4M6H7ZPKW,4DQ5TLTJ2,AFREUM STABLE EGP,SEGP,Provisional,Referential Instrument,2/14/25,2/14/25
XTTD989FB8L6,AFREUM STABLE ERN/SERN,TMXXXX,TD989FB8L,G4FGGX4BL,AFREUM STABLE ERN,SERN,Provisional,Referential Instrument,2/14/25,2/14/25
XT93NFQLX9H3,AFREUM STABLE ETB/SETB,TMXXXX,93NFQLX9H,WL0JVNMPV,AFREUM STABLE ETB,SETB,Provisional,Referential Instrument,2/14/25,2/14/25
XTZJJ484DKN4,AFREUM STABLE EUR/SEUR,TMXXXX,ZJJ484DKN,9ZQPXXG9V,AFREUM STABLE EUR,SEUR,Provisional,Referential Instrument,2/14/25,2/14/25
XT652WP46JG5,AFREUM STABLE FJD/SFJD,TMXXXX,652WP46JG,56QKD8Q78,AFREUM STABLE FJD,SFJD,Provisional,Referential Instrument,2/14/25,2/14/25
XTRPTQ0J87W5,AFREUM STABLE FKP/SFKP,TMXXXX,RPTQ0J87W,997CHXT2G,AFREUM STABLE FKP,SFKP,Provisional,Referential Instrument,2/14/25,2/14/25
XTWKMPV060W1,AFREUM STABLE GBP/SGBP,TMXXXX,WKMPV060W,43ZFR0SQ6,AFREUM STABLE GBP,SGBP,Provisional,Referential Instrument,2/14/25,2/14/25
XTWNLPZVZVB7,AFREUM STABLE GEL/SGEL,TMXXXX,WNLPZVZVB,DCDN58XDP,AFREUM STABLE GEL,SGEL,Provisional,Referential Instrument,2/14/25,2/14/25
XTGZ8FQFJKZ7,AFREUM STABLE GHS/SGHS,TMXXXX,GZ8FQFJKZ,DZLGG7RRP,AFREUM STABLE GHS,SGHS,Provisional,Referential Instrument,2/14/25,2/14/25
XTL3XFHRWXQ2,AFREUM STABLE GIP/SGIP,TMXXXX,L3XFHRWXQ,QN5FC973R,AFREUM STABLE GIP,SGIP,Provisional,Referential Instrument,2/14/25,2/14/25
XTJJLGNPXB96,AFREUM STABLE GMD/SGMD,TMXXXX,JJLGNPXB9,4PNGRRT4S,AFREUM STABLE GMD,SGMD,Provisional,Referential Instrument,2/14/25,2/14/25
XT3HGCXHXVG4,AFREUM STABLE GNF/SGNF,TMXXXX,3HGCXHXVG,GS41FM8CD,AFREUM STABLE GNF,SGNF,Provisional,Referential Instrument,2/14/25,2/14/25
XT8XGJ9PFR69,AFREUM STABLE GTQ/SGTQ,TMXXXX,8XGJ9PFR6,K2D6M96TP,AFREUM STABLE GTQ,SGTQ,Provisional,Referential Instrument,2/14/25,2/14/25
XT3HB53SBVG1,AFREUM STABLE GYD/SGYD,TMXXXX,3HB53SBVG,24BJT2F9L,AFREUM STABLE GYD,SGYD,Provisional,Referential Instrument,2/14/25,2/14/25
XTJMXNWD8NZ3,AFREUM STABLE HKD/SHKD,TMXXXX,JMXNWD8NZ,WWJL4WXKN,AFREUM STABLE HKD,SHKD,Provisional,Referential Instrument,2/14/25,2/14/25
XTDBTF2BTJD5,AFREUM STABLE HNL/SHNL,TMXXXX,DBTF2BTJD,N8J695HTD,AFREUM STABLE HNL,SHNL,Provisional,Referential Instrument,2/14/25,2/14/25
XT3DBCXMHS33,AFREUM STABLE HRK/SHRK,TMXXXX,3DBCXMHS3,KPFNCGR12,AFREUM STABLE HRK,SHRK,Provisional,Referential Instrument,2/14/25,2/14/25
XTJ60FZ0STB3,AFREUM STABLE HTG/SHTG,TMXXXX,J60FZ0STB,H6HSB3NRB,AFREUM STABLE HTG,SHTG,Provisional,Referential Instrument,2/14/25,2/14/25
XTM7652BBGJ5,AFREUM STABLE HUF/SHUF,TMXXXX,M7652BBGJ,TX7TRXHS0,AFREUM STABLE HUF,SHUF,Provisional,Referential Instrument,2/14/25,2/14/25
